Name;Age;Cost;Position;Team
Jugador-0;24;15000000;MC;FC Barcelona
Jugador-1;24;14000000;MC;FC Barcelona
Jugador-2;27;9000000;MC;FC Barcelona
Jugador-3;24;14000000;MC;FC Barcelona
Jugador-4;23;7000000;MC;FC Barcelona
Jugador-5;26;13000000;MC;FC Barcelona
Jugador-6;28;12000000;MC;FC Barcelona
Jugador-7;24;9000000;MC;FC Barcelona
Jugador-8;29;8000000;MC;FC Barcelona
Jugador-9;28;17000000;MC;FC Barcelona
Jugador-10;23;12000000;MC;FC Barcelona
Jugador-11;22;8000000;MC;FC Barcelona
Jugador-12;21;16000000;MC;FC Barcelona
Jugador-13;29;18000000;MC;FC Barcelona
Jugador-14;25;19000000;MC;FC Barcelona
Jugador-15;21;18000000;MC;FC Barcelona
Jugador-16;28;6000000;MC;FC Barcelona
Jugador-17;25;14000000;MC;FC Barcelona
Jugador-18;21;14000000;MC;FC Barcelona
Jugador-19;27;10000000;MC;FC Barcelona
Jugador-20;21;11000000;MC;FC Barcelona
Jugador-21;21;10000000;MC;FC Barcelona
Jugador-22;21;7000000;MC;FC Barcelona
Jugador-23;22;19000000;MC;FC Barcelona
Jugador-24;21;16000000;MC;FC Barcelona
Jugador-25;24;8000000;MC;Real Betis Balompié
Jugador-26;29;15000000;MC;Real Betis Balompié
Jugador-27;23;10000000;MC;Real Betis Balompié
Jugador-28;23;9000000;MC;Real Betis Balompié
Jugador-29;28;18000000;MC;Real Betis Balompié
Jugador-30;29;16000000;MC;Real Betis Balompié
Jugador-31;20;9000000;MC;Real Betis Balompié
Jugador-32;23;9000000;MC;Real Betis Balompié
Jugador-33;26;15000000;MC;Real Betis Balompié
Jugador-34;25;6000000;MC;Real Betis Balompié
Jugador-35;27;17000000;MC;Real Betis Balompié
Jugador-36;28;19000000;MC;Real Betis Balompié
Jugador-37;29;9000000;MC;Real Betis Balompié
Jugador-38;24;11000000;MC;Real Betis Balompié
Jugador-39;29;14000000;MC;Real Betis Balompié
Jugador-40;22;19000000;MC;Real Betis Balompié
Jugador-41;29;12000000;MC;Real Betis Balompié
Jugador-42;21;6000000;MC;Real Betis Balompié
Jugador-43;26;13000000;MC;Real Betis Balompié
Jugador-44;26;19000000;MC;Real Betis Balompié
Jugador-45;20;12000000;MC;Real Betis Balompié
Jugador-46;23;15000000;MC;Real Betis Balompié
Jugador-47;27;17000000;MC;Real Betis Balompié
Jugador-48;21;12000000;MC;Real Betis Balompié
Jugador-49;25;17000000;MC;Real Betis Balompié
Jugador-50;27;16000000;MC;Sevilla FC
Jugador-51;28;5000000;MC;Sevilla FC
Jugador-52;21;14000000;MC;Sevilla FC
Jugador-53;26;8000000;MC;Sevilla FC
Jugador-54;23;19000000;MC;Sevilla FC
Jugador-55;26;11000000;MC;Sevilla FC
Jugador-56;26;15000000;MC;Sevilla FC
Jugador-57;27;6000000;MC;Sevilla FC
Jugador-58;28;17000000;MC;Sevilla FC
Jugador-59;20;5000000;MC;Sevilla FC
Jugador-60;25;15000000;MC;Sevilla FC
Jugador-61;23;18000000;MC;Sevilla FC
Jugador-62;21;10000000;MC;Sevilla FC
Jugador-63;27;19000000;MC;Sevilla FC
Jugador-64;24;17000000;MC;Sevilla FC
Jugador-65;25;6000000;MC;Sevilla FC
Jugador-66;29;14000000;MC;Sevilla FC
Jugador-67;26;6000000;MC;Sevilla FC
Jugador-68;29;17000000;MC;Sevilla FC
Jugador-69;21;8000000;MC;Sevilla FC
Jugador-70;29;5000000;MC;Sevilla FC
Jugador-71;24;13000000;MC;Sevilla FC
Jugador-72;25;6000000;MC;Sevilla FC
Jugador-73;27;15000000;MC;Sevilla FC
Jugador-74;28;14000000;MC;Sevilla FC
Jugador-75;22;8000000;MC;RCD Espanyol
Jugador-76;21;7000000;MC;RCD Espanyol
Jugador-77;28;5000000;MC;RCD Espanyol
Jugador-78;22;10000000;MC;RCD Espanyol
Jugador-79;26;19000000;MC;RCD Espanyol
Jugador-80;28;10000000;MC;RCD Espanyol
Jugador-81;20;18000000;MC;RCD Espanyol
Jugador-82;25;13000000;MC;RCD Espanyol
Jugador-83;24;18000000;MC;RCD Espanyol
Jugador-84;20;7000000;MC;RCD Espanyol
Jugador-85;20;16000000;MC;RCD Espanyol
Jugador-86;22;17000000;MC;RCD Espanyol
Jugador-87;24;5000000;MC;RCD Espanyol
Jugador-88;27;5000000;MC;RCD Espanyol
Jugador-89;23;13000000;MC;RCD Espanyol
Jugador-90;29;18000000;MC;RCD Espanyol
Jugador-91;23;12000000;MC;RCD Espanyol
Jugador-92;21;19000000;MC;RCD Espanyol
Jugador-93;25;18000000;MC;RCD Espanyol
Jugador-94;24;12000000;MC;RCD Espanyol
Jugador-95;23;15000000;MC;RCD Espanyol
Jugador-96;23;8000000;MC;RCD Espanyol
Jugador-97;20;6000000;MC;RCD Espanyol
Jugador-98;27;15000000;MC;RCD Espanyol
Jugador-99;22;6000000;MC;RCD Espanyol
Jugador-100;25;6000000;MC;Real Sociedad
Jugador-101;22;7000000;MC;Real Sociedad
Jugador-102;24;15000000;MC;Real Sociedad
Jugador-103;23;18000000;MC;Real Sociedad
Jugador-104;26;6000000;MC;Real Sociedad
Jugador-105;25;19000000;MC;Real Sociedad
Jugador-106;26;13000000;MC;Real Sociedad
Jugador-107;28;11000000;MC;Real Sociedad
Jugador-108;21;8000000;MC;Real Sociedad
Jugador-109;21;14000000;MC;Real Sociedad
Jugador-110;29;12000000;MC;Real Sociedad
Jugador-111;25;11000000;MC;Real Sociedad
Jugador-112;27;8000000;MC;Real Sociedad
Jugador-113;21;17000000;MC;Real Sociedad
Jugador-114;26;8000000;MC;Real Sociedad
Jugador-115;27;10000000;MC;Real Sociedad
Jugador-116;29;15000000;MC;Real Sociedad
Jugador-117;22;7000000;MC;Real Sociedad
Jugador-118;21;17000000;MC;Real Sociedad
Jugador-119;22;15000000;MC;Real Sociedad
Jugador-120;20;11000000;MC;Real Sociedad
Jugador-121;21;6000000;MC;Real Sociedad
Jugador-122;25;17000000;MC;Real Sociedad
Jugador-123;23;18000000;MC;Real Sociedad
Jugador-124;22;16000000;MC;Real Sociedad
Jugador-125;21;14000000;MC;Real Madrid
Jugador-126;23;5000000;MC;Real Madrid
Jugador-127;23;11000000;MC;Real Madrid
Jugador-128;26;15000000;MC;Real Madrid
Jugador-129;25;6000000;MC;Real Madrid
Jugador-130;27;8000000;MC;Real Madrid
Jugador-131;24;6000000;MC;Real Madrid
Jugador-132;20;5000000;MC;Real Madrid
Jugador-133;20;15000000;MC;Real Madrid
Jugador-134;29;5000000;MC;Real Madrid
Jugador-135;28;11000000;MC;Real Madrid
Jugador-136;25;16000000;MC;Real Madrid
Jugador-137;28;17000000;MC;Real Madrid
Jugador-138;29;13000000;MC;Real Madrid
Jugador-139;23;14000000;MC;Real Madrid
Jugador-140;29;9000000;MC;Real Madrid
Jugador-141;24;13000000;MC;Real Madrid
Jugador-142;27;6000000;MC;Real Madrid
Jugador-143;28;9000000;MC;Real Madrid
Jugador-144;25;13000000;MC;Real Madrid
Jugador-145;29;19000000;MC;Real Madrid
Jugador-146;20;17000000;MC;Real Madrid
Jugador-147;22;10000000;MC;Real Madrid
Jugador-148;21;12000000;MC;Real Madrid
Jugador-149;24;14000000;MC;Real Madrid
Jugador-150;29;9000000;MC;Valencia CF
Jugador-151;29;17000000;MC;Valencia CF
Jugador-152;29;9000000;MC;Valencia CF
Jugador-153;20;6000000;MC;Valencia CF
Jugador-154;26;7000000;MC;Valencia CF
Jugador-155;22;5000000;MC;Valencia CF
Jugador-156;26;6000000;MC;Valencia CF
Jugador-157;27;12000000;MC;Valencia CF
Jugador-158;24;16000000;MC;Valencia CF
Jugador-159;22;17000000;MC;Valencia CF
Jugador-160;22;16000000;MC;Valencia CF
Jugador-161;25;6000000;MC;Valencia CF
Jugador-162;21;16000000;MC;Valencia CF
Jugador-163;20;7000000;MC;Valencia CF
Jugador-164;21;10000000;MC;Valencia CF
Jugador-165;21;5000000;MC;Valencia CF
Jugador-166;22;17000000;MC;Valencia CF
Jugador-167;20;19000000;MC;Valencia CF
Jugador-168;21;9000000;MC;Valencia CF
Jugador-169;23;19000000;MC;Valencia CF
Jugador-170;24;11000000;MC;Valencia CF
Jugador-171;20;11000000;MC;Valencia CF
Jugador-172;24;13000000;MC;Valencia CF
Jugador-173;28;17000000;MC;Valencia CF
Jugador-174;25;19000000;MC;Valencia CF
Jugador-175;28;19000000;MC;Villarreal
Jugador-176;21;16000000;MC;Villarreal
Jugador-177;27;11000000;MC;Villarreal
Jugador-178;28;5000000;MC;Villarreal
Jugador-179;22;8000000;MC;Villarreal
Jugador-180;26;18000000;MC;Villarreal
Jugador-181;21;9000000;MC;Villarreal
Jugador-182;21;11000000;MC;Villarreal
Jugador-183;28;6000000;MC;Villarreal
Jugador-184;29;12000000;MC;Villarreal
Jugador-185;29;17000000;MC;Villarreal
Jugador-186;28;17000000;MC;Villarreal
Jugador-187;29;13000000;MC;Villarreal
Jugador-188;26;18000000;MC;Villarreal
Jugador-189;28;10000000;MC;Villarreal
Jugador-190;24;19000000;MC;Villarreal
Jugador-191;24;8000000;MC;Villarreal
Jugador-192;25;8000000;MC;Villarreal
Jugador-193;29;8000000;MC;Villarreal
Jugador-194;23;17000000;MC;Villarreal
Jugador-195;25;15000000;MC;Villarreal
Jugador-196;29;9000000;MC;Villarreal
Jugador-197;28;5000000;MC;Villarreal
Jugador-198;24;18000000;MC;Villarreal
Jugador-199;25;6000000;MC;Villarreal
Jugador-200;23;9000000;MC;CD Celta de Vigo
Jugador-201;26;11000000;MC;CD Celta de Vigo
Jugador-202;24;16000000;MC;CD Celta de Vigo
Jugador-203;25;10000000;MC;CD Celta de Vigo
Jugador-204;23;13000000;MC;CD Celta de Vigo
Jugador-205;21;8000000;MC;CD Celta de Vigo
Jugador-206;22;13000000;MC;CD Celta de Vigo
Jugador-207;24;6000000;MC;CD Celta de Vigo
Jugador-208;27;9000000;MC;CD Celta de Vigo
Jugador-209;25;15000000;MC;CD Celta de Vigo
Jugador-210;29;11000000;MC;CD Celta de Vigo
Jugador-211;28;6000000;MC;CD Celta de Vigo
Jugador-212;27;5000000;MC;CD Celta de Vigo
Jugador-213;26;16000000;MC;CD Celta de Vigo
Jugador-214;21;18000000;MC;CD Celta de Vigo
Jugador-215;24;15000000;MC;CD Celta de Vigo
Jugador-216;26;14000000;MC;CD Celta de Vigo
Jugador-217;25;18000000;MC;CD Celta de Vigo
Jugador-218;24;14000000;MC;CD Celta de Vigo
Jugador-219;25;17000000;MC;CD Celta de Vigo
Jugador-220;25;10000000;MC;CD Celta de Vigo
Jugador-221;24;14000000;MC;CD Celta de Vigo
Jugador-222;28;10000000;MC;CD Celta de Vigo
Jugador-223;25;6000000;MC;CD Celta de Vigo
Jugador-224;27;13000000;MC;CD Celta de Vigo
Jugador-225;22;7000000;MC;Real Valladolid
Jugador-226;20;19000000;MC;Real Valladolid
Jugador-227;20;12000000;MC;Real Valladolid
Jugador-228;20;7000000;MC;Real Valladolid
Jugador-229;29;13000000;MC;Real Valladolid
Jugador-230;24;9000000;MC;Real Valladolid
Jugador-231;20;15000000;MC;Real Valladolid
Jugador-232;29;13000000;MC;Real Valladolid
